,Num_students,Class,Class_Type,Distance,Venue_Size,Venues,Venue_Type,Venue
286,0,2,2,2,1,0,2,0
287,0,1,1,1,1,2,2,1
288,0,1,2,1,0,1,2,0
289,0,0,2,1,0,2,2,1
290,0,1,2,2,0,2,0,0
291,0,0,2,2,1,1,2,0
292,0,0,2,0,0,0,0,0
293,1,2,0,2,0,0,2,1
294,0,0,2,2,0,1,2,2
295,1,0,2,0,1,0,2,0
296,1,0,1,2,1,0,2,0
297,0,0,2,2,0,0,0,1
298,0,2,2,1,0,1,2,1
299,0,1,1,1,1,1,0,1
300,0,2,0,1,1,1,1,0
301,1,0,0,1,1,1,2,0
302,1,1,2,0,1,0,2,0
303,1,0,2,1,0,1,2,1
304,0,2,2,0,0,0,2,2
305,1,2,1,1,1,0,0,0
306,0,1,2,2,0,2,2,0
307,1,0,2,0,0,2,1,2
308,0,0,2,2,0,1,2,0
309,0,2,1,2,1,0,2,0
310,1,1,1,2,0,0,2,0
311,0,2,1,2,1,0,0,1
312,0,2,2,2,1,0,2,1
313,0,0,2,0,0,2,0,0
314,0,2,2,0,1,2,0,1
315,0,2,1,2,0,1,2,1
316,1,0,1,2,0,0,2,0
317,0,1,2,0,0,0,2,1
318,0,2,2,2,1,0,1,1
319,0,2,2,1,1,0,2,0
320,0,2,2,2,1,0,0,1
321,0,2,2,1,1,2,2,2
322,0,2,0,2,1,2,2,1
323,0,2,2,2,0,0,1,0
324,0,0,2,2,0,0,0,1
325,0,2,2,1,0,1,2,1
326,0,1,2,1,0,0,0,2
327,1,1,1,2,0,2,0,1
328,1,2,1,1,1,2,2,2
329,0,0,2,1,0,2,0,1
330,0,2,2,2,1,0,0,2
331,1,0,2,1,0,1,0,2
332,0,2,1,2,0,2,2,0
333,0,1,2,1,0,0,1,0
334,0,2,2,2,1,0,2,0
335,0,2,0,1,1,0,2,0
336,0,0,1,2,1,1,2,2
337,0,2,2,1,0,1,0,0
338,1,2,2,0,0,2,2,2
339,0,2,2,0,1,0,2,1
340,0,2,1,0,0,0,2,0
341,0,2,1,1,1,1,1,1
342,0,0,2,1,0,1,2,0
343,0,2,2,0,0,2,2,2
344,0,2,2,2,1,0,2,0
345,0,2,1,2,1,2,2,0
346,0,0,1,1,0,1,1,0
347,0,1,2,0,1,1,0,2
348,0,2,0,2,1,2,2,1
349,0,2,0,2,0,0,0,0
350,0,0,2,2,0,1,0,1
351,0,0,1,1,0,2,1,0
352,0,2,1,0,1,0,2,0
353,1,2,1,0,1,1,2,2
354,0,2,2,1,0,2,2,2
355,0,1,1,0,1,0,0,0
356,0,2,1,2,0,0,0,1
357,0,2,2,0,0,1,2,2
358,0,0,2,2,0,2,2,1
359,0,1,1,0,0,0,2,0
360,0,0,2,0,1,0,1,2
361,0,2,2,2,1,0,2,0
362,1,1,2,2,1,1,2,0
363,0,1,1,1,1,1,0,0
364,0,0,1,0,1,0,2,0
365,0,0,1,0,1,2,0,2
366,1,0,2,0,0,0,0,0
367,1,0,1,2,0,0,2,1
368,0,2,2,2,0,0,2,1
369,0,1,2,0,1,0,0,2
370,0,2,2,2,0,0,2,1
371,0,0,2,2,0,0,0,1
372,0,2,2,0,0,1,2,0
373,0,2,2,1,1,0,0,1
374,1,0,2,0,1,0,0,1
375,0,1,2,0,1,0,0,0
376,0,2,2,2,1,0,0,1
377,1,0,2,2,0,2,1,1
378,0,1,1,0,0,2,1,2
379,0,0,2,1,1,1,2,0
380,0,2,2,0,1,0,2,0
381,0,2,2,0,0,0,2,1
382,1,2,1,1,1,1,2,2
383,0,2,0,1,0,2,2,1
384,0,1,2,1,1,0,2,1
385,0,2,2,1,1,1,2,1
386,0,0,2,2,1,0,2,0
387,0,1,2,1,1,0,2,1
388,0,2,2,2,1,0,2,1
389,0,1,1,1,0,2,2,1
390,1,0,2,1,1,1,2,1
391,0,2,2,0,1,0,2,2
392,0,2,2,0,1,0,2,0
393,0,1,1,0,1,2,2,0
394,0,2,2,0,1,0,2,1
395,0,1,2,1,0,0,2,0
396,0,0,2,0,1,0,2,0
397,0,0,1,2,1,0,1,0
398,0,1,1,1,0,2,2,2
399,1,0,1,0,0,2,2,0
400,0,2,2,1,1,2,0,2
401,0,2,0,0,0,2,2,2
402,0,2,2,1,1,2,2,1
403,0,0,2,2,0,1,0,1
404,0,2,2,2,1,0,0,0
405,0,2,0,1,0,0,0,1
406,0,2,0,1,0,2,2,1
407,1,0,2,1,0,2,2,0
408,1,0,1,0,1,0,2,2
409,0,1,1,1,0,0,1,2
410,0,0,2,0,0,0,2,2
411,1,0,2,1,0,2,0,2
412,1,1,2,1,1,0,2,0
413,1,2,1,2,1,0,2,0
414,0,2,2,2,1,0,2,1
415,1,0,2,1,0,2,0,0
416,0,2,2,1,0,1,0,0
417,0,1,1,0,1,0,0,0
418,0,0,2,0,0,1,0,0
419,0,0,2,1,1,0,2,0
420,0,1,2,1,1,1,2,0
421,0,1,2,0,0,0,0,1
422,0,0,1,1,1,0,0,0
423,0,0,2,1,1,2,2,0
424,1,0,2,0,1,0,2,2
425,0,0,1,1,1,0,0,1
426,1,0,2,0,0,2,2,2
427,0,2,2,2,0,0,2,1
428,0,2,2,2,0,0,0,0
429,0,0,2,2,1,1,2,0
430,0,0,2,0,1,0,2,2
431,1,2,1,0,1,0,0,2
432,0,0,2,1,1,2,2,0
433,0,0,2,2,1,2,2,0
434,0,1,1,1,0,1,2,0
435,1,2,0,1,0,1,0,2
436,0,2,2,1,0,1,2,1
437,0,2,1,0,0,0,2,0
438,0,2,2,2,0,0,0,1
439,1,0,2,0,0,0,2,0
440,1,0,2,0,1,1,1,2
441,1,0,1,1,0,1,2,0
442,1,2,1,1,0,1,2,1
443,0,2,2,1,1,0,2,2
444,0,0,2,2,0,0,0,1
445,0,2,0,1,1,2,2,1
446,1,2,2,1,0,0,0,1
447,0,0,2,1,0,0,2,0
448,0,2,2,1,1,0,2,1
449,1,1,1,2,0,2,2,1
450,0,0,1,1,1,1,0,0
451,1,0,1,2,0,1,2,0
452,1,2,2,2,0,0,1,0
453,1,0,2,2,1,0,2,1
454,0,1,2,1,0,0,2,1
455,0,0,2,0,1,0,2,2
456,1,0,2,0,0,0,1,0
457,0,2,2,0,1,1,1,2
458,0,0,2,1,0,2,0,0
459,0,0,2,0,1,0,2,2
460,0,1,1,0,0,1,2,1
461,0,0,2,1,1,0,2,2
462,0,2,0,2,1,0,2,0
463,0,2,2,0,0,0,0,1
464,0,0,1,1,1,0,0,0
465,1,0,2,1,0,1,0,1
466,0,0,1,2,0,2,2,0
467,0,2,2,1,0,0,2,0
468,1,0,2,2,0,0,2,1
469,0,2,2,1,0,1,1,2
470,0,1,1,0,0,2,1,0
471,0,2,0,1,0,1,1,0
472,0,0,2,1,0,1,0,0
473,0,2,2,0,0,0,0,0
474,0,2,2,2,0,0,2,0
475,0,2,2,0,1,0,0,0
476,0,1,2,0,1,0,2,2
477,1,0,2,1,0,1,2,1
478,0,2,2,1,1,0,2,1
479,0,0,2,0,0,2,2,1
480,1,2,1,1,0,0,2,1
481,0,2,2,1,1,2,2,2
482,1,0,2,1,1,2,2,2
483,0,1,1,0,0,0,0,0
484,0,2,2,1,0,1,2,0
485,0,2,1,1,1,2,2,2
486,1,2,1,1,0,1,2,1
487,0,0,2,0,0,2,2,2
488,0,1,1,0,1,0,0,0
489,0,2,2,0,0,0,0,2
490,0,2,0,1,1,2,2,0
491,0,2,2,1,0,0,2,2
492,0,2,2,0,1,0,2,2
493,0,0,2,1,0,1,2,0
494,0,1,2,0,1,0,2,2
495,0,1,1,1,1,2,2,2
496,0,2,2,1,1,0,2,0
497,1,0,2,1,0,1,0,2
498,0,2,2,0,0,0,2,1
499,0,2,2,0,1,0,0,0
500,0,0,2,1,1,2,0,1
501,0,1,2,0,0,0,1,2
502,1,0,2,2,0,0,2,0
503,0,2,0,0,1,0,2,0
504,1,0,2,2,0,2,2,1
505,0,2,2,1,0,2,2,2
506,0,2,1,0,0,2,2,2
507,1,0,2,0,1,0,1,2
508,0,2,2,1,1,0,2,0
509,0,2,2,2,1,2,2,1
510,0,1,2,0,0,2,0,0
511,0,2,2,0,0,2,2,0
512,1,0,2,0,0,0,2,0
513,1,0,2,2,0,1,0,0
514,1,0,2,0,0,0,0,1
515,1,0,0,2,0,1,2,0
516,0,1,1,2,0,2,2,0
517,0,2,2,0,0,1,1,0
518,0,1,2,1,1,1,2,0
519,0,0,2,0,0,0,2,0
520,1,0,2,1,1,0,1,0
521,0,2,2,0,1,0,2,2
522,0,0,2,1,0,1,2,1
523,0,0,0,1,0,2,2,2
524,0,0,2,2,0,0,2,0
525,1,0,2,0,0,2,2,1
526,1,1,2,1,1,2,0,1
527,0,0,2,1,0,0,0,2
528,0,0,2,2,1,2,2,1
529,0,0,2,2,0,0,1,1
530,0,2,2,1,0,2,1,1
531,0,2,2,1,1,0,2,2
532,1,0,2,0,1,0,0,0
533,0,2,2,1,0,0,0,0
534,0,0,2,0,0,0,2,2
535,1,1,2,0,1,0,0,0
536,0,2,2,0,1,0,2,0
537,0,2,0,2,1,2,2,1
538,0,2,2,2,1,2,0,1
539,0,1,1,0,1,0,2,1
540,0,2,2,0,0,0,1,0
541,1,0,2,1,0,2,2,0
542,0,2,0,0,0,1,0,1
543,0,2,0,1,0,1,2,0
544,1,2,1,0,1,0,0,2
545,0,1,1,0,1,0,1,2
546,0,0,1,1,0,0,0,0
547,1,0,1,0,0,0,1,2
548,0,0,1,1,1,2,2,1
549,0,2,0,1,0,0,2,2
550,0,2,2,0,0,0,0,0
551,0,2,2,1,0,2,2,0
552,0,1,1,0,0,2,2,0
553,0,0,2,1,0,2,2,2
554,0,0,1,1,1,2,2,0
555,0,1,2,0,0,0,0,2
556,0,0,2,2,1,0,2,0
557,0,2,2,2,0,0,2,0
558,0,0,1,0,1,0,0,0
559,1,2,2,2,1,0,2,0
560,0,2,2,2,0,1,2,0
561,0,2,2,1,1,2,2,0
562,0,0,0,2,1,0,2,1
563,0,2,2,1,1,2,2,0
564,0,0,1,1,1,0,2,1
565,0,2,2,2,0,0,2,0
566,0,0,0,0,1,2,2,2
567,0,1,1,0,1,0,2,0
568,0,0,2,1,0,2,2,1
569,1,0,1,2,1,0,0,0
570,1,2,0,2,1,2,2,1
571,0,0,1,1,1,1,2,0
572,1,2,1,2,1,0,1,1
573,1,0,2,1,1,2,2,0
574,1,1,2,1,0,2,2,1
575,0,0,1,0,0,0,2,0
576,1,0,2,1,1,2,2,2
577,0,1,1,0,0,0,0,1
578,1,2,2,1,0,0,2,1
579,0,2,2,1,0,1,0,1
580,1,1,1,0,0,1,2,0
581,1,1,2,0,0,0,0,0
582,1,0,2,1,0,2,1,1
583,0,1,1,1,1,2,0,0
584,0,0,2,2,1,1,2,1
585,0,2,2,1,0,1,0,2
586,0,0,2,2,0,2,2,0
587,1,2,2,2,1,0,0,0
588,0,2,2,1,1,2,2,0
589,0,2,2,1,0,1,0,1
590,1,1,0,2,0,2,1,1
591,0,0,2,1,1,0,2,0
592,0,2,2,2,1,2,2,0
593,0,1,1,1,1,0,2,1
594,0,1,2,1,1,2,2,2
595,0,0,2,2,1,1,2,0
596,1,0,2,2,0,2,0,0
597,0,0,2,2,1,1,2,1
598,1,1,1,1,1,1,2,2
599,0,1,1,0,0,1,2,2
600,1,0,2,1,1,0,0,2
601,0,0,1,1,0,0,2,2
602,0,2,2,0,0,0,1,2
603,0,2,2,1,1,0,2,1
604,1,1,2,0,1,2,0,0
605,0,2,2,2,1,0,2,2
606,0,0,2,1,0,1,2,1
607,0,0,1,1,0,2,2,0
608,0,1,2,1,1,2,2,0
609,0,2,2,0,1,1,2,0
610,1,0,2,2,1,2,2,0
611,0,2,2,1,0,1,0,0
612,0,0,2,1,0,1,2,0
613,1,0,2,0,0,0,2,0
614,0,0,1,2,1,1,2,1
615,0,2,0,1,0,2,2,1
616,0,0,2,0,0,0,2,2
617,1,2,1,0,1,0,2,0
618,0,2,2,1,1,0,2,2
619,0,1,1,1,0,1,2,0
620,1,1,1,2,0,2,1,1
621,0,0,2,0,1,0,0,0
622,1,0,2,2,0,2,1,0
623,1,0,2,0,0,0,2,0
624,0,1,1,2,0,2,2,1
625,0,2,2,1,0,1,2,0
626,0,0,2,1,0,0,0,2
627,0,1,1,0,1,2,2,0
628,1,0,2,0,1,2,2,0
629,1,0,1,1,0,2,2,1
630,0,0,2,0,1,0,2,1
631,0,1,1,0,1,0,2,1
632,0,0,1,1,1,1,2,1
633,0,1,1,0,0,0,0,2
634,0,2,2,0,1,2,0,0
635,1,0,2,1,1,1,2,1
636,1,0,2,0,1,0,2,0
637,0,2,1,1,1,2,0,1
638,0,2,2,2,1,2,2,1
639,0,2,2,0,1,1,2,0
640,1,0,2,1,0,1,0,0
641,0,2,2,2,1,0,0,0
642,0,2,2,0,1,0,2,0
643,0,2,2,1,0,2,2,2
644,0,0,1,0,0,0,0,0
645,0,1,2,1,0,0,0,2
646,1,0,2,2,0,0,2,1
647,1,0,2,2,0,1,2,0
648,0,2,2,2,0,2,2,0
649,0,0,2,0,0,0,2,2
650,0,2,1,0,0,0,2,1
651,0,2,2,1,1,1,0,1
652,1,0,2,0,0,1,0,0
653,0,2,2,1,0,1,2,2
654,0,2,2,1,0,2,2,2
655,0,2,2,2,0,0,2,0
656,0,1,1,1,1,0,0,2
657,1,0,0,2,1,0,0,0
658,1,0,2,2,0,1,2,1
659,0,2,2,1,1,2,0,0
660,1,1,1,0,0,0,2,1
661,1,0,2,2,1,0,2,1
662,1,0,2,1,0,2,2,1
663,0,2,2,0,1,0,0,0
664,1,2,0,1,0,2,0,2
665,1,2,0,1,1,2,0,2
666,1,2,2,2,1,2,0,0
667,0,0,1,1,1,2,2,1
668,0,0,2,1,1,1,2,1
669,0,2,2,1,0,1,0,2
670,0,0,2,0,1,0,2,0
671,1,0,2,0,0,0,2,2
672,0,2,2,2,0,0,0,0
673,1,0,2,0,0,0,0,2
674,1,1,2,1,1,1,2,1
675,0,2,2,1,0,1,2,2
676,0,1,1,1,1,2,2,1
677,1,1,2,1,1,0,1,0
678,0,0,2,2,1,2,2,0
679,1,0,2,2,0,0,0,1
680,0,1,1,2,1,0,2,1
681,0,1,1,0,0,1,1,0
682,0,2,2,0,0,2,2,2
683,0,2,0,1,0,1,2,0
684,0,1,1,0,0,0,2,0
685,0,2,2,0,0,0,0,2
686,0,2,2,0,0,1,2,2
687,0,1,2,1,1,1,2,2
688,0,0,2,1,0,2,2,0
689,0,2,1,1,0,2,2,0
690,0,1,1,1,1,0,2,1
691,1,0,2,0,1,0,2,2
692,0,2,2,2,1,0,0,0
693,0,0,2,1,0,2,2,0
694,1,0,2,0,0,2,0,0
695,1,0,2,1,1,1,1,0
696,0,1,1,1,0,0,0,2
697,1,0,2,2,0,0,2,0
698,1,0,2,1,0,2,2,1
699,0,1,1,2,1,2,2,0
700,0,0,2,0,1,0,0,0
701,1,0,2,2,1,1,2,0
702,0,2,2,0,0,1,2,0
703,1,0,2,2,1,2,2,1
704,0,2,0,2,1,0,2,0
705,0,2,2,0,1,0,2,0
706,1,0,2,2,0,0,0,0
707,1,0,2,1,0,2,2,0
708,0,0,2,2,0,2,2,0
709,0,2,2,0,0,2,0,1
710,1,0,2,0,1,0,2,0
711,0,0,2,2,0,2,0,1
712,1,0,1,1,0,2,0,2
713,0,2,2,1,1,1,1,2
714,0,2,2,1,1,0,0,2
715,0,2,1,1,1,1,1,0
716,0,1,2,0,1,0,2,0
717,1,0,2,0,1,2,0,0
718,0,2,1,2,1,1,1,1
719,0,2,1,2,1,0,0,1
720,0,0,2,0,0,0,2,0
721,0,1,1,1,1,1,2,2
722,0,0,1,2,0,0,2,1
723,0,2,2,0,0,0,2,2
724,0,0,2,2,1,0,0,1
725,0,2,2,1,0,0,0,0
726,1,0,2,0,1,0,2,0
727,1,0,2,0,1,0,0,1
728,0,2,2,0,0,0,0,0
729,1,0,2,1,1,1,1,1
730,0,2,0,2,1,0,2,0
731,0,2,2,2,0,0,0,1
732,0,0,2,1,0,2,2,0
733,1,2,0,1,0,2,1,2
734,1,0,2,2,0,1,2,0
735,1,0,1,1,0,2,2,0
736,0,2,2,2,0,0,2,0
737,0,2,2,1,1,1,2,1
738,0,2,2,1,1,2,0,2
739,1,0,2,0,0,0,0,1
740,0,0,2,0,0,0,2,1
741,0,0,2,0,0,0,2,0
742,0,0,1,1,0,0,2,1
743,0,2,2,1,0,0,2,1
744,0,2,1,1,1,1,0,1
745,1,2,2,1,1,1,0,1
746,0,0,2,0,1,1,2,0
747,0,2,2,1,0,0,0,0
748,0,2,2,1,0,2,2,0
749,0,0,1,1,0,2,0,2
750,0,1,2,1,0,1,2,0
751,1,1,2,0,0,2,0,0
752,0,0,2,2,0,1,2,1
753,0,0,2,1,0,1,2,0
754,1,0,1,1,1,2,2,0
755,0,1,1,0,0,0,2,2
756,1,2,1,1,0,1,0,2
757,0,2,2,1,0,0,2,0
758,1,0,2,2,0,1,2,0
759,0,1,1,2,0,0,2,0
760,0,1,1,0,0,2,0,0
761,1,0,2,2,0,1,2,0
762,0,2,2,0,0,2,2,1
763,1,0,2,0,0,0,1,2
764,0,2,2,0,1,1,1,2
765,0,1,1,1,0,1,2,2
766,0,2,2,1,0,1,2,1
767,1,0,1,0,0,0,2,0
768,0,0,2,2,0,2,2,0
769,0,2,2,2,1,0,2,0
770,0,1,2,0,1,0,2,0
771,0,1,1,0,0,2,2,1
772,0,2,2,1,0,1,2,0
